"88.451","1.24944","37.3472","7.8944","998.28","-0.381952","18.002"
"88.772","0.99861","31.6889","9.1917","998.22","-0.366761","18.0028"
"89.406","0.80806","27.6667","11.1972","998.21","-0.310337","17.9559"
"89.896","0.55722","24.0667","11.5667","998.19","-0.373271","17.9171"
"90.262","0.55056","23.1278","11.75","998.25","-0.414504","17.8494"
"91.068","0.420278","19.7167","12.6694","998.25","-0.444886","17.8796"
"91.105","0.7625","25.8806","11.0583","998.26","-0.288636","17.6545"
"91.072","0.90083","26.1639","10.7889","998.27","-0.290806","17.6033"
"90.91","0.58056","32.7194","8.2194","998.28","-0.329869","17.6727"
"91.006","0.7725","23.7778","11.2472","998.23","-0.388462","17.6788"
"90.973","0.65194","26.175","11.0417","998.15","-0.377612","17.6816"
"90.599","0.98083","28.3833","10.3417","998.23","-0.35808","17.6879"
"90.143","1.10611","33.1222","8.5806","998.27","-0.384122","17.7309"
"90.296","0.70333","30.1889","9.2778","998.2","-0.360251","17.7624"
"90.46","0.445","29.4667","8.5694","998.23","-0.388462","17.7174"
"91.221","0.240278","20.9639","11.025","998.3","-0.444886","17.6293"
"92.262","0.438611","17.2722","14.1472","998.19","-0.407994","17.372"
"92.762","0.386389","20.5917","12.3778","998.08","-0.444886","17.2331"
"93.065","0.72083","20.3194","11.7528","998.02","-0.388462","17.1723"
"93.505","0.59139","18.7389","11.8472","998.03","-0.460077","17.2027"
"93.886","0.198611","19.6083","10.7917","998.04","-0.54688","17.0538"
"94.492","0.102222","23.4972","9.0278","997.87","-0.57509","16.9379"
"94.879","0.478889","24.1111","8.1611","997.81","-0.57726","16.913"
"95.092","0.60611","24.2611","8.4861","997.78","-0.56424","16.9332"
"95.313","0.74889","22.1333","8.9583","997.77","-0.50131","16.9221"
"95.616","0.68944","21.3722","9.2583","997.76","-0.52735","16.9175"
"95.43","0.286667","27.6944","7.8167","997.74","-0.444886","16.7025"
"95.345","0.197778","26.8306","7.4611","997.75","-0.407994","16.6949"
"95.485","0.332778","25.9528","7.55","997.71","-0.308167","16.6226"
"95.75","0.273611","27.9417","6.0694","997.74","-0.360251","16.6335"
"95.636","0.465","29.4333","6.1083","997.71","-0.297317","16.646"
"95.734","0.458056","29.0222","5.1667","997.62","-0.301657","16.571"
"95.686","0.344444","30.6667","4.66111","997.69","-0.329869","16.6172"
"95.582","0.428611","31.95","4.12778","997.68","-0.305997","16.6955"
"94.587","0.51","34.2472","4.22778","997.69","-0.305997","16.6135"
"93.434","0.54806","39.7222","2.24167","997.57","-0.288636","16.7667"
"93.268","0.262778","34.3278","2.775","997.53","-0.329869","16.6968"
